account_key,account_name,component,points_awarded,points_max,attainment_pct
448001216710,Al Romansiah Restaurants Co.,Sector,20,20,1
448001216710,Al Romansiah Restaurants Co.,Size,15,15,1
448001216710,Al Romansiah Restaurants Co.,Access,5,5,1
448044163263,Barq Express (Alafaliq Holding),Sector,20,20,1
448044163263,Barq Express (Alafaliq Holding),Riyadh,15,15,1
448044163263,Barq Express (Alafaliq Holding),Access,5,5,1
448043716818,Kesay Clinics Co.,Sector,20,20,1
448043716818,Kesay Clinics Co.,Access,5,5,1
448038377664,Ataa Educational,Sector,20,20,1
448038377664,Ataa Educational,Size,15,15,1
448038377664,Ataa Educational,Access,5,5,1
447990598874,Alkhaleej Training & Education,Sector,20,20,1
447990598874,Alkhaleej Training & Education,Size,15,15,1
447990598874,Alkhaleej Training & Education,Access,5,5,1
448044126447,Axelerated Solutions,Access,5,5,1
448038377663,Leejam Sports,Sector,20,20,1
448044337401,COGNNA,Riyadh,15,15,1
448044337401,COGNNA,Access,5,5,1
448044546259,Mouwasat Medical Services,Sector,20,20,1
448044489971,Seera Group,Sector,20,20,1
448049856748,MS Logistics,Sector,20,20,1
448049856748,MS Logistics,Access,5,5,1
448050150622,Alshaya Group (Saudi operations),Sector,20,20,1
448044671204,Jahez International,Size,15,15,1
448044671204,Jahez International,Access,5,5,1
448049934537,Sary,Riyadh,15,15,1
448049934537,Sary,Access,5,5,1
448038377665,Rasan Information Technology,Size,15,15,1
448038377665,Rasan Information Technology,Access,5,5,1
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Size,15,15,1
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Access,5,5,1
448044337400,El Seif Engineering Contracting,Sector,20,20,1
448044337400,El Seif Engineering Contracting,Riyadh,15,15,1
448050150620,Marketing Home Group for Trading Co. (Build Station),Sector,20,20,1
448050150620,Marketing Home Group for Trading Co. (Build Station),Size,15,15,1
448050150620,Marketing Home Group for Trading Co. (Build Station),Riyadh,15,15,1
448050150620,Marketing Home Group for Trading Co. (Build Station),Access,5,5,1
448049602786,Almajdiah,Size,15,15,1
448049602786,Almajdiah,Access,5,5,1
448005627099,Derayah Financial Co.,Size,15,15,1
448005627099,Derayah Financial Co.,Access,5,5,1
447990598875,Specialized Medical Co. (SMC Healthcare),Sector,20,20,1
447990598875,Specialized Medical Co. (SMC Healthcare),Size,15,15,1
447990598875,Specialized Medical Co. (SMC Healthcare),Riyadh,15,15,1
447990598875,Specialized Medical Co. (SMC Healthcare),Need,10,10,1
447990598875,Specialized Medical Co. (SMC Healthcare),Access,5,5,1
448044045529,Cherry Trading Co. (Cherry Rent a Car),Sector,20,20,1
448044045529,Cherry Trading Co. (Cherry Rent a Car),Size,15,15,1
448044045529,Cherry Trading Co. (Cherry Rent a Car),Riyadh,15,15,1
448044045529,Cherry Trading Co. (Cherry Rent a Car),Access,5,5,1
448044671203,Nice One Beauty Digital Marketing Co.,Sector,20,20,1
448044671203,Nice One Beauty Digital Marketing Co.,Size,15,15,1
448044671203,Nice One Beauty Digital Marketing Co.,Riyadh,15,15,1
448044671203,Nice One Beauty Digital Marketing Co.,Access,5,5,1
447992495290,Akdital International (Saudi operations),Sector,20,20,1
447992495290,Akdital International (Saudi operations),Trigger,15,15,1
447992495290,Akdital International (Saudi operations),Need,10,10,1
447992495290,Akdital International (Saudi operations),Access,5,5,1
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Sector,20,20,1
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Size,15,15,1
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Riyadh,15,15,1
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Need,10,10,1
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Access,5,5,1
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Sector,20,20,1
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Trigger,15,15,1
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Size,15,15,1
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Need,10,10,1
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Access,5,5,1
448049602789,Al Hammadi Holding,Sector,20,20,1
448049602789,Al Hammadi Holding,Size,15,15,1
448049602789,Al Hammadi Holding,Riyadh,15,15,1
448049602789,Al Hammadi Holding,Need,10,10,1
448049602789,Al Hammadi Holding,Access,5,5,1
448049934536,Almasar Alshamil Education,Sector,20,20,1
448049934536,Almasar Alshamil Education,Trigger,15,15,1
448049934536,Almasar Alshamil Education,Size,15,15,1
448049934536,Almasar Alshamil Education,Riyadh,15,15,1
448049934536,Almasar Alshamil Education,Access,5,5,1
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Sector,20,20,1
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Need,10,10,1
447978318037,Flynas,Need,6,10,0.6
447978318037,Flynas,Access,3,5,0.6
447992494328,Unifonic,Sector,12,20,0.6
447978318036,Ladun Investment Co.,Sector,12,20,0.6
447978318036,Ladun Investment Co.,Need,6,10,0.6
448043997423,Tamara,Sector,12,20,0.6
448043997423,Tamara,Need,6,10,0.6
448043997423,Tamara,Access,3,5,0.6
448044208376,Lean Technologies,Sector,12,20,0.6
448044208376,Lean Technologies,Need,6,10,0.6
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Sector,12,20,0.6
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Need,6,10,0.6
448012991697,Tabby,Sector,12,20,0.6
448012991697,Tabby,Need,6,10,0.6
448012991697,Tabby,Access,3,5,0.6
448050150623,Dr. Sulaiman Al Habib Medical Group,Need,6,10,0.6
447952146624,Dallah Healthcare Co.,Need,6,10,0.6
447952146624,Dallah Healthcare Co.,Access,3,5,0.6
448044209338,Al Ramz Real Estate Co. (Alramz),Sector,12,20,0.6
448044209338,Al Ramz Real Estate Co. (Alramz),Need,6,10,0.6
448049602788,Basma Adeem Medical Co. (Smile Care),Need,6,10,0.6
448043909360,Floward,Need,6,10,0.6
448049743062,National Company for Learning & Education (NCLE),Need,6,10,0.6
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Sector,12,20,0.6
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Need,6,10,0.6
448044163264,Humain,Sector,12,20,0.6
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Access,3,5,0.6
448043964636,Lucidya,Sector,12,20,0.6
448043964636,Lucidya,Need,6,10,0.6
448044126448,Lumi Rental,Need,6,10,0.6
448001216710,Al Romansiah Restaurants Co.,Need,6,10,0.6
448044163263,Barq Express (Alafaliq Holding),Need,6,10,0.6
448043716818,Kesay Clinics Co.,Need,6,10,0.6
448038377664,Ataa Educational,Need,6,10,0.6
447990598874,Alkhaleej Training & Education,Need,6,10,0.6
448044126447,Axelerated Solutions,Sector,12,20,0.6
448044126447,Axelerated Solutions,Need,6,10,0.6
448038377663,Leejam Sports,Access,3,5,0.6
448044337401,COGNNA,Sector,12,20,0.6
448044337401,COGNNA,Need,6,10,0.6
448044546258,Nintex (Saudi office),Sector,12,20,0.6
448044546258,Nintex (Saudi office),Need,6,10,0.6
448044546258,Nintex (Saudi office),Access,3,5,0.6
448044546259,Mouwasat Medical Services,Need,6,10,0.6
448044546259,Mouwasat Medical Services,Access,3,5,0.6
448044489971,Seera Group,Access,3,5,0.6
448049856748,MS Logistics,Need,6,10,0.6
448050150622,Alshaya Group (Saudi operations),Need,6,10,0.6
448044671204,Jahez International,Sector,12,20,0.6
448044671204,Jahez International,Need,6,10,0.6
448049934537,Sary,Sector,12,20,0.6
448049934537,Sary,Need,6,10,0.6
448038377665,Rasan Information Technology,Sector,12,20,0.6
448038377665,Rasan Information Technology,Need,6,10,0.6
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Sector,12,20,0.6
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Need,6,10,0.6
448044337400,El Seif Engineering Contracting,Need,6,10,0.6
448044337400,El Seif Engineering Contracting,Access,3,5,0.6
448050150620,Marketing Home Group for Trading Co. (Build Station),Need,6,10,0.6
448049602786,Almajdiah,Sector,12,20,0.6
448049602786,Almajdiah,Need,6,10,0.6
448005627099,Derayah Financial Co.,Sector,12,20,0.6
448005627099,Derayah Financial Co.,Need,6,10,0.6
448044045529,Cherry Trading Co. (Cherry Rent a Car),Need,6,10,0.6
448044671203,Nice One Beauty Digital Marketing Co.,Need,6,10,0.6
448049934536,Almasar Alshamil Education,Need,6,10,0.6
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Access,3,5,0.6
447978318037,Flynas,HR,13,20,0.65
447992494328,Unifonic,HR,5,20,0.25
447992494328,Unifonic,Need,3,10,0.3
447978318036,Ladun Investment Co.,HR,10,20,0.5
448043997423,Tamara,HR,5,20,0.25
448044208376,Lean Technologies,HR,5,20,0.25
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),HR,10,20,0.5
448012991697,Tabby,HR,5,20,0.25
448049660109,Al-Rashid Trading & Contracting Co.,HR,10,20,0.5
448049660109,Al-Rashid Trading & Contracting Co.,Need,3,10,0.3
448049660109,Al-Rashid Trading & Contracting Co.,Access,2,5,0.4
448050150623,Dr. Sulaiman Al Habib Medical Group,HR,13,20,0.65
448050150623,Dr. Sulaiman Al Habib Medical Group,Access,2,5,0.4
447952146624,Dallah Healthcare Co.,HR,13,20,0.65
448044209338,Al Ramz Real Estate Co. (Alramz),HR,5,20,0.25
448049602788,Basma Adeem Medical Co. (Smile Care),HR,10,20,0.5
448043909360,Floward,HR,5,20,0.25
448043909359,Abdullah Al-Othaim Markets,HR,10,20,0.5
448043909359,Abdullah Al-Othaim Markets,Need,3,10,0.3
448043909359,Abdullah Al-Othaim Markets,Access,2,5,0.4
448049743062,National Company for Learning & Education (NCLE),HR,10,20,0.5
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,HR,10,20,0.5
448044163264,Humain,HR,5,20,0.25
448044163264,Humain,Access,2,5,0.4
448043964636,Lucidya,HR,5,20,0.25
448044126448,Lumi Rental,HR,10,20,0.5
448001216710,Al Romansiah Restaurants Co.,HR,10,20,0.5
448044163263,Barq Express (Alafaliq Holding),HR,10,20,0.5
448043716818,Kesay Clinics Co.,HR,10,20,0.5
448038377664,Ataa Educational,HR,10,20,0.5
447990598874,Alkhaleej Training & Education,HR,10,20,0.5
448044126447,Axelerated Solutions,HR,5,20,0.25
448038377663,Leejam Sports,HR,10,20,0.5
448038377663,Leejam Sports,Need,3,10,0.3
448044337401,COGNNA,HR,5,20,0.25
448044546258,Nintex (Saudi office),HR,5,20,0.25
448044546259,Mouwasat Medical Services,HR,13,20,0.65
448044489971,Seera Group,HR,10,20,0.5
448044489971,Seera Group,Need,3,10,0.3
448049856748,MS Logistics,HR,10,20,0.5
448050150622,Alshaya Group (Saudi operations),HR,13,20,0.65
448050150622,Alshaya Group (Saudi operations),Access,2,5,0.4
448044671204,Jahez International,HR,5,20,0.25
448049934537,Sary,HR,5,20,0.25
448038377665,Rasan Information Technology,HR,5,20,0.25
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),HR,5,20,0.25
448044337400,El Seif Engineering Contracting,HR,10,20,0.5
448050150620,Marketing Home Group for Trading Co. (Build Station),HR,5,20,0.25
448049602786,Almajdiah,HR,5,20,0.25
448005627099,Derayah Financial Co.,HR,5,20,0.25
447990598875,Specialized Medical Co. (SMC Healthcare),HR,13,20,0.65
448044045529,Cherry Trading Co. (Cherry Rent a Car),HR,10,20,0.5
448044671203,Nice One Beauty Digital Marketing Co.,HR,10,20,0.5
447992495290,Akdital International (Saudi operations),HR,13,20,0.65
448017350857,Sport Clubs Co. (Body Masters / Body Motions),HR,13,20,0.65
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),HR,13,20,0.65
448049602789,Al Hammadi Holding,HR,13,20,0.65
448049934536,Almasar Alshamil Education,HR,10,20,0.5
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),HR,13,20,0.65
447978318037,Flynas,Trigger,11,15,0.7333
447978318037,Flynas,Size,8,15,0.5333
447992494328,Unifonic,Trigger,3,15,0.2
447992494328,Unifonic,Size,8,15,0.5333
447992494328,Unifonic,Riyadh,5,15,0.3333
447978318036,Ladun Investment Co.,Trigger,11,15,0.7333
447978318036,Ladun Investment Co.,Size,8,15,0.5333
447978318036,Ladun Investment Co.,Riyadh,13,15,0.8667
448043997423,Tamara,Trigger,3,15,0.2
448043997423,Tamara,Size,8,15,0.5333
448044208376,Lean Technologies,Trigger,3,15,0.2
448044208376,Lean Technologies,Size,8,15,0.5333
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Trigger,11,15,0.7333
448049708244,Arabian Co. for Agricultural & Industrial Investment (Entaj),Riyadh,5,15,0.3333
448012991697,Tabby,Trigger,7,15,0.4667
448012991697,Tabby,Size,8,15,0.5333
448049660109,Al-Rashid Trading & Contracting Co.,Trigger,7,15,0.4667
448049660109,Al-Rashid Trading & Contracting Co.,Size,3,15,0.2
448049660109,Al-Rashid Trading & Contracting Co.,Riyadh,5,15,0.3333
448050150623,Dr. Sulaiman Al Habib Medical Group,Trigger,11,15,0.7333
448050150623,Dr. Sulaiman Al Habib Medical Group,Size,3,15,0.2
448050150623,Dr. Sulaiman Al Habib Medical Group,Riyadh,13,15,0.8667
447952146624,Dallah Healthcare Co.,Trigger,11,15,0.7333
447952146624,Dallah Healthcare Co.,Size,8,15,0.5333
447952146624,Dallah Healthcare Co.,Riyadh,13,15,0.8667
448044209338,Al Ramz Real Estate Co. (Alramz),Trigger,11,15,0.7333
448049602788,Basma Adeem Medical Co. (Smile Care),Trigger,7,15,0.4667
448049602788,Basma Adeem Medical Co. (Smile Care),Size,5,15,0.3333
448043909360,Floward,Trigger,3,15,0.2
448043909360,Floward,Size,8,15,0.5333
448043909360,Floward,Riyadh,5,15,0.3333
448043909359,Abdullah Al-Othaim Markets,Trigger,3,15,0.2
448043909359,Abdullah Al-Othaim Markets,Size,8,15,0.5333
448049743062,National Company for Learning & Education (NCLE),Trigger,3,15,0.2
448049743062,National Company for Learning & Education (NCLE),Riyadh,5,15,0.3333
447995572453,Saleh Abdulaziz Al Rashed & Sons Co.,Trigger,11,15,0.7333
448044163264,Humain,Size,8,15,0.5333
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Size,8,15,0.5333
448049602790,Saudi Arabian Trading & Construction Co. (SATCO) - probable match,Riyadh,5,15,0.3333
448043964636,Lucidya,Trigger,7,15,0.4667
448043964636,Lucidya,Size,5,15,0.3333
448044126448,Lumi Rental,Trigger,3,15,0.2
448001216710,Al Romansiah Restaurants Co.,Trigger,7,15,0.4667
448001216710,Al Romansiah Restaurants Co.,Riyadh,5,15,0.3333
448044163263,Barq Express (Alafaliq Holding),Trigger,3,15,0.2
448044163263,Barq Express (Alafaliq Holding),Size,8,15,0.5333
448043716818,Kesay Clinics Co.,Trigger,7,15,0.4667
448043716818,Kesay Clinics Co.,Size,5,15,0.3333
448043716818,Kesay Clinics Co.,Riyadh,5,15,0.3333
448038377664,Ataa Educational,Trigger,3,15,0.2
448038377664,Ataa Educational,Riyadh,5,15,0.3333
447990598874,Alkhaleej Training & Education,Trigger,3,15,0.2
447990598874,Alkhaleej Training & Education,Riyadh,5,15,0.3333
448044126447,Axelerated Solutions,Trigger,11,15,0.7333
448044126447,Axelerated Solutions,Size,5,15,0.3333
448044126447,Axelerated Solutions,Riyadh,5,15,0.3333
448038377663,Leejam Sports,Trigger,3,15,0.2
448038377663,Leejam Sports,Size,8,15,0.5333
448038377663,Leejam Sports,Riyadh,5,15,0.3333
448044337401,COGNNA,Trigger,3,15,0.2
448044337401,COGNNA,Size,5,15,0.3333
448044546258,Nintex (Saudi office),Trigger,3,15,0.2
448044546258,Nintex (Saudi office),Size,5,15,0.3333
448044546258,Nintex (Saudi office),Riyadh,13,15,0.8667
448044546259,Mouwasat Medical Services,Trigger,11,15,0.7333
448044546259,Mouwasat Medical Services,Size,8,15,0.5333
448044546259,Mouwasat Medical Services,Riyadh,13,15,0.8667
448044489971,Seera Group,Trigger,3,15,0.2
448044489971,Seera Group,Size,8,15,0.5333
448044489971,Seera Group,Riyadh,5,15,0.3333
448049856748,MS Logistics,Trigger,3,15,0.2
448049856748,MS Logistics,Size,8,15,0.5333
448049856748,MS Logistics,Riyadh,13,15,0.8667
448050150622,Alshaya Group (Saudi operations),Trigger,11,15,0.7333
448050150622,Alshaya Group (Saudi operations),Size,3,15,0.2
448050150622,Alshaya Group (Saudi operations),Riyadh,13,15,0.8667
448044671204,Jahez International,Trigger,3,15,0.2
448044671204,Jahez International,Riyadh,5,15,0.3333
448049934537,Sary,Trigger,3,15,0.2
448049934537,Sary,Size,8,15,0.5333
448038377665,Rasan Information Technology,Trigger,3,15,0.2
448038377665,Rasan Information Technology,Riyadh,5,15,0.3333
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Trigger,11,15,0.7333
448049743060,Consolidated Gruenenfelder Saady Holding (CGS),Riyadh,5,15,0.3333
448044337400,El Seif Engineering Contracting,Trigger,3,15,0.2
448044337400,El Seif Engineering Contracting,Size,8,15,0.5333
448050150620,Marketing Home Group for Trading Co. (Build Station),Trigger,11,15,0.7333
448049602786,Almajdiah,Trigger,11,15,0.7333
448049602786,Almajdiah,Riyadh,5,15,0.3333
448005627099,Derayah Financial Co.,Trigger,11,15,0.7333
448005627099,Derayah Financial Co.,Riyadh,5,15,0.3333
447990598875,Specialized Medical Co. (SMC Healthcare),Trigger,11,15,0.7333
448044045529,Cherry Trading Co. (Cherry Rent a Car),Trigger,11,15,0.7333
448044671203,Nice One Beauty Digital Marketing Co.,Trigger,7,15,0.4667
447992495290,Akdital International (Saudi operations),Size,8,15,0.5333
447992495290,Akdital International (Saudi operations),Riyadh,13,15,0.8667
448017350857,Sport Clubs Co. (Body Masters / Body Motions),Trigger,11,15,0.7333
448049547474,Fakeeh Care Group (Dr. Soliman Abdel Kader Fakeeh Hospital Co.),Riyadh,13,15,0.8667
448049602789,Al Hammadi Holding,Trigger,11,15,0.7333
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Trigger,11,15,0.7333
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Size,8,15,0.5333
448049934538,Spinneys Saudi Arabia (Spinneys KSA JV),Riyadh,13,15,0.8667
